0,1
a,Distance between pillars (m)
A,Surface area (m 2 )
c TMA,Lumped sticking coefficient of TMA
c H 2 O,Lumped sticking coefficient of water
b,Number of metal atoms in a molecule
d,Pillar diameter ( m m)
d A,Molecular diameter of Reactant A (pm)
d B,Molecular diameter of carrier gas B (pm)
D,Apparent diffusion coefficient (m 2 s /C0 1 )
D 0,Diffusion coefficient without pillars (m 2 s /C0 1
F,Flux of material in direction x (mol m /C0 2 s /C0 1
