material,determined r,literature value r
SiO 2,(6 ± 2) × 10 - 5,"(2 ± 1) × 10 - 4 , a 1.6 × 10 - 4 , b (3 - 5) × 10 - 5 , c (4 - 160) × 10 - 4 , d (0.8 - 3) × 10 - 5 e"
TiO 2,(7 ± 4) × 10 - 5,
Al 2 O 3 HfO 2,(1 - 10) × 10 - 3 (0.1 - 10) × 10 - 2,2.1 × 10 - 3 f
a Ref e Ref 34,"b Ref 32. c Ref 32 (Pyrex, 35 ∼ 96% SiO ). f Ref 32.",33 ∼ 81% SiO 2 ). d Ref 29 2
28.,"(Vycor,",(Pyrex).
