model_run_group,figure,model,varied_parameters,fixed_parameters,experimental_comparator,provenance,evidence
SIM_H,10 a-c,"Ylilammi et al. diffusion-reaction model, MATLAB re-implementation",channel height,TMA-water process parameters,Series C (Fig. 9a-c),simulated,"""Simulated saturation profiles ... created with a MATLAB re-implementation of the Ylilammi et al. model"""
SIM_N,10 d-f,"Ylilammi et al. diffusion-reaction model, MATLAB re-implementation",number of ALD cycles,channel height,Series D (Fig. 9d-f),simulated,"""The effects of increasing the channel height and number of ALD cycles were simulated with the Ylilammi et al. model"""
