0,1,2,3,4
𝛤 ev ( m -2 s -1 ),𝛽 0,𝛽 0 from [9],𝛽 0 from [13],𝛽 0 from [32]
3 . 0 ⋅ 10 19,7 . 5 ⋅ 10 -3,5 . 7 ⋅ 10 -3,(0 . 5-2 . 0) ⋅ 10 -3,4 . 0 ⋅ 10 -3
