old_canonical_curves,old_entities,old_experiments,old_model_sweep_entities,old_physical_case_ids,old_points,old_simulation_entities,old_unresolved_entities,paper,pilot_deposition_runs,pilot_experimental_cases,pilot_links_blocked,pilot_links_merged,pilot_measurements,pilot_measurements_recovered_caption_only,pilot_points,pilot_representations,pilot_result_series,pilot_samples,pilot_simulation_runs,pilot_study_series,pilot_unresolved_links
16,16,54,2,14,112,0,0,10.1038_am.2016.182,0,50,2,4,19,5,112,0,16,0,2,0,15
38,38,32,0,24,624,0,0,10.1149_2.067203jes,0,26,0,0,38,0,624,11,38,0,0,0,12
4,4,0,0,0,160,0,4,10.1039_c7ta03257a,0,2,0,0,5,1,160,2,4,0,0,0,5
70,70,39,0,37,1221,31,0,10.1039_d0cp03358h,3,18,0,7,43,4,1221,53,70,16,31,6,41
