unique_id,reactA,reactAT,reactB,reactBT,reactC,reactCT,reactD,reactDT,pc,reactScheme,coating,supports,supportsCat,batchmass,dp,pV,areaSSA,particlesize,processpressure,flow,pretreat_medium,pretreat_T,A_dosing,A_T,B_dosing,B_T,C_dosing,C_T,D_dosing,D_T,cycles,GPC
1,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,ZSM-5,MO,1,0.5,,15,,0.133,,,200,,200 (230),,RT,,500,,,1,0.3 atomic layer
2,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,ZSM-5,MO,1,0.5,,15,,0.133,,,200,,200 (230),,RT,,500,,,,0.7 atomic layer
3,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,ZSM-5,MO,1,0.5,,15,,0.133,,,200,,200 (230),,RT,,500,,,3,1 atomic layer
4,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,ZSM-5,MO,1,0.5,,15,,0.133,,,200,,200 (230),,RT,,500,,,,2 atomic layer
5,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,ZSM-5,MO,1,0.5,,15,,0.133,,,200,,200 (230),,RT,,500,,,,3 atomic layer
6,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,SiO2,MO,,,,,,0.133,,,200,,200 (230),,RT,,500,,,,0.5 atomic layer
7,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,1,
8,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,2,
9,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,3,
10,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,4,
11,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,5,
12,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,1,
13,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,2,
14,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,3,
15,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,4,
16,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,5,
17,Cu(tmhd)2,140,O2 (air),,,,,,N2,A-B,CuOx,SiO2,MO,2-3,,,300,,,,air,400,480,160,,300,,,,,1,
18,Cu(tmhd)2,140,O2 (air),,,,,,N2,A-B,CuOx,SiO2,MO,2-3,,,300,,,,air,400,480,170,,300,,,,,1,
19,Cu(tmhd)2,140,O2 (air),,,,,,N2,A-B,CuOx,SiO2,MO,2-3,,,300,,,,air,400,480,180,,300,,,,,1,
20,Cu(tmhd)2,140,O2 (air),,,,,,N2,A-B,CuOx,SiO2,MO,2-3,,,300,,,,air,400,480,190,,300,,,,,1,
21,MeCpPtMe3,,H2,,,,,,N2,A-B,Pt,ZnOx/SiO2,MO,,,,,,0.1,,N2,200,0.25,90,60,550,,,,,1,
22,MeCpPtMe3,,H2,,,,,,N2,A-B,Pt,ZnOx/SiO2,MO,,,,,,0.1,,N2,200,0.125,90,60,550,,,,,1,
23,MeCpPtMe3,,H2,,,,,,N2,A-B,Pt,ZnOx/SiO2,MO,,,,,,0.1,,N2,200,0.125,90,60,550,,,,,1,
24,MeCpPtMe3,,H2,,,,,,N2,A-B,Pt,SiO2,MO,0.16-0.32,,1.1,300,297-400,0.1,,N2,200,0.125,90,60,550,,,,,1,
25,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,SiO2,MO,0.32,,1.1,300,297-400,0.1,,N2,200,0.025,175,0.025,175,,,,,1,
26,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,SiO2,MO,1,,1.1,300,297-400,0.1,,N2,200,0.025,100,0.025,100,,,,,1,
27,DEZ,RT,H2O,RT,MeCpPtMe3,,H2,,N2,(A-B)-(C-D),PtZnOx,Al2O3,MO,0.32,,,,,0.1,,N2,200,0.01,100,0.025,100,0.25,100,60,550,1,
28,TTIP,,H2O,RT,O2 (air),,,,,A-(B1-B2),TiOx,SiO2,MO,,,,300,,,,air,200,120,80 (200),,RT,240,500,,,1,
29,TTIP,,H2O,RT,O2 (air),,,,,A-(B1-B2),TiOx,SiO2,MO,,,,300,,,,air,200,120,80 (200),,RT,240,500,,,2,1 atomic layer
30,Cu(tmhd)2,,O2 (air),,,,,,,A-B,CuO,SiO2,MO,,,,300,,,,,,,170,,450,,,,,2,
31,Pd(tmhd)2,,O2 (air),,,,,,,A-B,Pd,CuOx/SiO2,MO,,,,,,,,,,,,,,,,,,,
32,Cu(tmhd)2,,O2 (air),,,,,,,A-B,CuO,Al2O3,MO,,,,200,,,,,,,170,,450,,,,,2,
33,Pd(tmhd)2,,O2 (air),,,,,,,A-B,Pd,CuOx/Al2O3,MO,,,,,,,,,,,,,,,,,,,
34,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,SiO2,MO,10-20,,,5.6,0.55,0.1-0.3,15-25,,,0.4-1,177,0.5,177,,,,,30,2.0 Å
35,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,SiO2,MO,10-20,,,5.6,0.55,0.1-0.3,15-25,,,0.4-1,177,0.5,177,,,,,90,2.0 Å
36,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,SiO2,MO,10-20,,,5.6,0.55,0.1-0.3,15-25,,,0.4-1,177,0.5,177,,,,,150,2.0 Å
37,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,TiO2,MO,18-25,,,48.8,0.03,0.1-0.3,,,,5-10,177,5-10,177,,,,,10,
38,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,TiO2,MO,18-25,,,48.8,0.03,0.1-0.3,,,,5-10,177,5-10,177,,,,,25,
39,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,TiO2,MO,18-25,,,48.8,0.03,0.1-0.3,,,,5-10,177,5-10,177,,,,,50,
40,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,TiO2,MO,15-30,,,78.6,0.019,0.1-0.3,,,,5-10,177,5-10,177,,,,,10,
41,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,TiO2,MO,15-30,,,78.6,0.019,0.1-0.3,,,,5-10,177,5-10,177,,,,,25,
42,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,TiO2,MO,15-30,,,78.6,0.019,0.1-0.3,,,,5-10,177,5-10,177,,,,,50,
43,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,200,120,175,120,175-200,,,,,,
44,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,450,120,175,120,175-200,,,,,,
45,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,560,120,175,120,175-200,,,,,,
46,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,750,120,175,120,175-200,,,,,,
47,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,820,120,175,120,175-200,,,,,,
48,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,450,120,450,120,450,,,,,1,
49,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,450,120,450,120,450,,,,,2,
50,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,450,120,450,120,450,,,,,3,
51,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,450,120,450,120,450,,,,,4,
52,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,560,120,450,120,450,,,,,,
53,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,750,120,450,120,450,,,,,,
54,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,820,120,450,120,450,,,,,,
55,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,560,120,550,120,550,,,,,,
56,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,750,120,550,120,550,,,,,,
57,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,SiO2,MO,5-7,24,1.75,300,100,6-10,,air,820,120,550,120,550,,,,,,
58,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.1,330,,,,air,600,,180,240,450,,,,,1,
59,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.1,330,,,,air,600,,180,240,450,,,,,3,
60,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.1,330,,,,air,600,,180,240,450,,,,,5,
61,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,,,1.1,330,,,,air,600,,180,240,450,,,,,1,
62,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,,,1.1,330,,,,air,600,,180,240,450,,,,,2,
63,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,,,1.1,330,,,,air,600,,180,240,450,,,,,3,
64,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,,,1.1,330,,,,air,600,,180,240,450,,,,,4,
65,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,,,1.1,330,,,,air,600,,180,240,450,,,,,5,
66,Co(acac)2,180,O2 (air),,,,,,N2,A-B,CoOx,Al2O3,MO,,,0.45,140,,,,air,875,,180,240,450,,,,,1,
67,Co(acac)2,180,O2 (air),,,,,,N2,A-B,CoOx,Al2O3,MO,,,0.45,140,,,,air,875,,180,240,450,,,,,3,
68,Co(acac)2,180,O2 (air),,,,,,N2,A-B,CoOx,Al2O3,MO,,,0.45,140,,,,air,875,,180,240,450,,,,,5,
69,Co(acac)2,180,O2 (air),,,,,,N2,A-B*,CoOx*,Al2O3,MO,,,0.45,140,,,,air,875,,180,240,450,,,,,1,
70,Co(acac)2,180,O2 (air),,,,,,N2,A-B*,CoOx*,Al2O3,MO,,,0.45,140,,,,air,875,,180,240,450,,,,,3,
71,Co(acac)2,180,O2 (air),,,,,,N2,A-B*,CoOx*,Al2O3,MO,,,0.45,140,,,,air,875,,180,240,450,,,,,5,
72,TTIP,RT,H2O,,,,,,N2,A-B,TiOx,SiO2,MO,17,,,5.6,0.55,,,,,0.5,275,1,275,,,,,100,
73,TTIP,RT,H2O,,,,,,N2,A-B,TiOx,SiO2,MO,17,,,5.6,0.55,,,,,0.5,275,1,275,,,,,175,
74,TTIP,RT,H2O,,,,,,N2,A-B,TiOx,SiO2,MO,17,,,5.6,0.55,,,,,0.5,275,1,275,,,,,250,0.1 Å
75,TTIP,RT,H2O,,,,,,N2,A-B,TiOx,SiO2,MO,17,,,5.6,0.55,,,,,0.5,275,1,275,,,,,325,
76,TTIP,RT,H2O2,,,,,,N2,A-B,TiOx,ZnO,MO,10,,,13.5,0.065,,,,,5,100,10,100,,,,,50,0.4 Å
77,TTIP,RT,H2O2,,,,,,N2,A-B,TiOx,ZnO,MO,10,,,13.5,0.065,,,,,5,100,10,100,,,,,75,0.4 Å
78,TTIP,RT,H2O2,,,,,,N2,A-B,TiOx,ZnO,MO,10,,,13.5,0.065,,,,,5,100,10,100,,,,,100,0.4 Å
79,TTIP,RT,H2O2,,,,,,N2,A-B,TiOx,ZnO,MO,20,,,13.5,0.065,,,,,10,100,20,100,,,,,50,0.4 Å
80,TTIP,RT,H2O2,,,,,,N2,A-B,TiOx,ZnO,MO,20,,,13.5,0.065,,,,,10,100,20,100,,,,,75,0.4 Å
81,TTIP,RT,H2O2,,,,,,N2,A-B,TiOx,ZnO,MO,20,,,13.5,0.065,,,,,10,100,20,100,,,,,100,0.4 Å
82,TiCl4,,NH3 plasma,,,,,,N2; Ar,A-B,TiN,TiO2,MO,,,,112.6,0.02,,160,,,0.03,360,0.4,360,,,,,20,
83,TiCl4,,NH3 plasma,,,,,,N2; Ar,A-B,TiN,TiO2,MO,,,,112.6,0.02,,160,,,0.03,360,0.4,360,,,,,50,
84,TiCl4,,NH3 plasma,,,,,,N2; Ar,A-B,TiN,TiO2,MO,,,,112.6,0.02,,160,,,0.03,360,0.4,360,,,,,100,
85,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,,250,,250,,,,,1,
86,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,,280,,280,,,,,1,
87,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,,300,,300,,,,,1,
88,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,,320,,320,,,,,1,
89,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,,350,,350,,,,,1,
90,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,,390,,390,,,,,1,
91,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,,400,,400,,,,,1,
92,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,15,450,,450,,,,,1,
93,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,10,450,,450,,,,,1,
94,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,15,450,,450,,,,,1,
95,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,560,,550,,550,,,,,1,
96,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,750,,450,,450,,,,,1,
97,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,820,,175,,175,,,,,1,
98,HMDS,50,TiCl4,,,,,,N2,A-B,TiSi*,SiO2,MO,5-8,,1.8,310,100,,,,450,,175,,175,,,,,1,
99,TiCl4,25,H2O,,,,,,N2,A-B,TiOx,SiO2,MO,5-8,,1.8,310,100,,,,450,,400,,400,,,,,1,
100,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,450,,450,,450,,,,,1,
101,TiCl4,25,,,,,,,N2,A,Ti*,SiO2,MO,5-8,,1.8,310,100,,,,200,,175,,175,,,,,1,
102,Co(acac)3,167,O2 (air),,,,,,N2,A-B,CoOx,ZrO2,MO,,,,,,1.33,,,497,60,167,60,497,,,,,3,
103,Co(acac)3,167,O2 (air),,,,,,N2,A-B,CoOx,ZrO2,MO,,,,,,1.33,,,497,60,167,60,497,,,,,5,
104,Co(acac)3,167,O2 (air),,,,,,N2,A-B,CoOx,La2O3/ZrO2,MO,,,,,,1.33,,,,60,167,60,497,,,,,3,
105,Co(acac)3,167,O2 (air),,,,,,N2,A-B,CoOx,La2O3/ZrO2,MO,,,,,,1.33,,,,60,167,60,497,,,,,5,
106,TDMAS,,H2O2,,,,,,N2,A-B,SiOx,TiO2 (rutile),MO,30,,,9.5,0.16,,,,,1,,1,,,,,,50,0.4 Å
107,TDMAS,,H2O2,,,,,,N2,A-B,SiOx,TiO2 (anatase),MO,30,,,5.9,0.28,,,,,0.5,,0.5,,,,,,50,0.4 Å
108,TDMAS,,H2O2,,TMA,,H2O,,N2,(A-B)-(C-D),AlSiOx,TiO2 (anatase),MO,30,,,5.9,0.28,,,,,,,,,,,,,10+25,1.0 Å/0.4 Å SiO2
109,TDMAS,,H2O2,,TMA,,H2O,,N2,(A-B)-(C-D),AlSiOx,TiO2 (anatase),MO,30,,,5.9,0.28,,,,,,,,,,,,,5+13+5+13,
110,TMA,RT,H2O,RT,,,,,,A-B,AlOx,Cu,M,,,,,45,0.0001,,,,0.3,100,0.3,100,,,,,60,
111,TMA,RT,H2O,RT,,,,,,A-B,AlOx,Cu,M,,,,,45,0.0001,,,,0.3,100,0.3,100,,,,,80,
112,TMA,RT,H2O,RT,,,,,,A-B,AlOx,Cu,M,,,,,45,0.0001,,,,0.3,100,0.3,100,,,,,150,0.1 nm
113,TMA,RT,H2O,RT,,,,,,A-B,AlOx,Cu,M,,,,,45,0.0001,,,,0.3,100,0.3,100,,,,,250,
114,TMA,RT,H2O,RT,,,,,,A-B,AlOx,Cu,M,,,,,45,0.0001,,,,0.3,100,0.3,100,,,,,300,
115,TMA,RT,H2O,RT,,,,,,A-B,AlOx,Fe,M,,,,,44,0.0001,,,,0.3,100,0.3,100,,,,,60,
116,TMA,RT,H2O,RT,,,,,,A-B,AlOx,Fe,M,,,,,44,0.0001,,,,0.3,100,0.3,100,,,,,80,
117,TMA,RT,H2O,RT,,,,,,A-B,AlOx,Fe,M,,,,,44,0.0001,,,,0.3,100,0.3,100,,,,,150,
118,TMA,RT,H2O,RT,,,,,,A-B,AlOx,Fe,M,,,,,44,0.0001,,,,0.3,100,0.3,100,,,,,250,
119,TMA,RT,H2O,RT,,,,,,A-B,AlOx,Fe,M,,,,,44,0.0001,,,,0.3,100,0.3,100,,,,,300,
120,TiCl4,25,H2O,25,,,,,N2,A-B,TiOx,SiO2,MO,5-8,,1.75,300,100,6-10,,air (N2),560,60-120,175,,,,,,,1,
121,TiCl4,25,H2O,25,,,,,N2,A-B,TiOx,SiO2,MO,5-8,,1.75,300,100,6-10,,air (N2),560,60-120,250,,,,,,,1,
122,TiCl4,25,H2O,25,,,,,N2,A-B,TiOx,SiO2,MO,5-8,,1.75,300,100,6-10,,air (N2),560,60-120,350,,,,,,,1,
123,TiCl4,25,H2O,25,,,,,N2,A-B,TiOx,SiO2,MO,5-8,,1.75,300,100,6-10,,air (N2),560,60-120,450,,,,,,,1,
124,TiCl4,25,H2O,25,,,,,N2,A-B,TiOx,SiO2,MO,5-8,,1.75,300,100,6-10,,air (N2),560,60-120,550,,,,,,,1,
125,TMA,RT,,,,,,,N2,A,Al*,SiO2,MO,10,,1.05,300,315-500,1-5,200-500,air,750 (450-550),,150,,150,,,,,1,
126,TMA,RT,NH3,RT,,,,,N2,A-B,AlN,SiO2,MO,10,,1.05,300,315-500,1-5,200-500,air,750 (450-550),,150,,150,,,,,1,
127,TMA,RT,NH3,RT,,,,,N2,A-B,AlN,SiO2,MO,10,,1.05,300,315-500,1-5,200-500,air,750 (450-550),,150,,350,,,,,1,
128,TMA,RT,NH3,RT,,,,,N2,A-B,AlN,SiO2,MO,10,,1.05,300,315-500,1-5,200-500,air,750 (450-550),,150,,550,,,,,1,
129,DEZ,RT,H2O2,RT,,,,,,A-B,ZnOx,TiO2,MO,25,,,80,,,31,,,,50,,50,,,,,30,
130,DEZ,RT,H2O2,RT,,,,,,A-B,ZnOx,TiO2,MO,25,,,80,,,31,,,7-8,100,6-7,100,,,,,30,
131,DEZ,RT,H2O,RT,,,,,,A-B,ZnOx,TiO2,MO,25,,,80,,,31,,,,177,,177,,,,,10,0.2 nm
132,DEZ,RT,H2O,RT,,,,,,A-B,ZnOx,TiO2,MO,25,,,80,,,31,,,,177,,177,,,,,30,0.2 nm
133,H2O,,TMA,,,,,,,A-B,AlOx,NCM,MO,,,,14,1,,150-200,,,0.002,130,0.002,130,,,,,13,
134,TMA,,H2O,,,,,,,A-B,AlOx,NCM,MO,,,,14,1,,120-150,,,0.3,250,0.3,250,,,,,15,
135,TiCl4,25,H2O,,,,,,N2,A-B,TiOx,SiO2,MO,5-8,,1.8,310,100,,,,,,175,,200,,,,,,
136,Cr(acac)3,190-200,,,,,,,N2,A,Cr*,SiO2,MO,5-8,,1.8,310,100,,,,,,200,,,,,,,,
137,Cr(acac)3,190-200,,,,,,,N2,A,Cr*,SiO2,MO,5-8,,1.8,310,100,,,,,,200,,,,,,,,
138,Cr(acac)3,190-200,,,,,,,N2,A,Cr*,SiO2,MO,5-8,,1.8,310,100,,,,,,200,,,,,,,,
139,HMDS,50,,,,,,,N2,A,Si*,SiO2,MO,5-8,,1.8,310,100,,,,,,175,,,,,,,,
140,HMDS,,O2 (air),,,,,,,A-B,SiOx,Al2O3,MO,,,,190,,,,,500,,200,,500,,,,,1,
141,HMDS,,O2 (air),,,,,,,A-B,SiOx,Al2O3,MO,,,,190,,,,,500,,200,,500,,,,,2,
142,HMDS,,O2 (air),,,,,,,A-B,SiOx,Al2O3,MO,,,,190,,,,,500,,200,,500,,,,,3,
143,HMDS,,O2 (air),,,,,,,A-B,SiOx,Al2O3,MO,,,,190,,,,,500,,200,,500,,,,,4,
144,HMDS,,O2 (air),,,,,,,A-B,SiOx,Al2O3,MO,,,,190,,,,,500,,200,,500,,,,,6,1 Si/nm2
145,Al(acac)3,,O2 (air),,,,,,,A-B,AlOx,SiO2,MO,,,,320,,,,,520,,190,,520,,,,,1,
146,Al(acac)3,,O2 (air),,,,,,,A-B,AlOx,SiO2,MO,,,,320,,,,,520,,190,,520,,,,,2,
147,Al(acac)3,,O2 (air),,,,,,,A-B,AlOx,SiO2,MO,,,,320,,,,,520,,190,,520,,,,,3,
148,Al(acac)3,,O2 (air),,,,,,,A-B,AlOx,SiO2,MO,,,,320,,,,,520,,190,,520,,,,,4,
149,Al(acac)3,,O2 (air),,,,,,,A-B,AlOx,SiO2,MO,,,,320,,,,,520,,190,,520,,,,,6,0.6 Al/nm2
150,TMA,,H2O,,,,,,N2,A-B,AlOx,diamond,C,50,,,0.39,2-22,0.5,,air,177,,177,,177,,,,,50,0.12 nm
151,TMA,,H2O,,,,,,N2,A-B,AlOx,diamond,C,50,,,0.39,2-22,0.5,,air,177,,177,,177,,,,,100,0.12 nm
152,DEZ,RT,H2O,,,,,,N2,A-B,ZnOx,CNx,C,0.01,,,,,0.04,,,,0.002,120,0.0025,120,,,,,85,0.22 nm
153,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,200,120,200,,200,,,,,1,0.49 atomic layer
154,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,200,120,280,,280,,,,,1,
155,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,450,120,200,,200,,,,,1,0.41 atomic layer
156,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,450,120,280,,280,,,,,1,0.49 atomic layer
157,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,560,120,200,,200,,,,,1,0.23 atomic layer
158,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,560,120,280,,280,,,,,1,0.31 atomic layer
159,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,780,120,200,,200,,,,,1,
160,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,780,120,280,,280,,,,,1,
161,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,820,120,200,,200,,,,,1,0.17 atomic layer
162,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,820,120,280,,280,,,,,1,0.20 atomic layer
163,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,450,120,240,,240,,,,,1,
164,Cr(acac)3,190-200,H2O,,,,,,N2,A-B,CrOx,SiO2,MO,5-8,,1.75,300,100,6-10,,,450,120,260,,260,,,,,1,
165,HMDS,50,Cr(acac)3,,,,,,N2,A-B,Cr*Si*,SiO2,MO,5-8,,1.75,300,100,6-10,,,200,120,175,120,200,,,,,1,0.06 atomic layer
166,HMDS,50,Cr(acac)3,,,,,,N2,A-B,Cr*Si*,SiO2,MO,5-8,,1.75,300,100,6-10,,,450,120,175,120,200,,,,,1,0.03 atomic layer
167,HMDS,50,Cr(acac)3,,,,,,N2,A-B,Cr*Si*,SiO2,MO,5-8,,1.75,300,100,6-10,,,560,120,175,120,200,,,,,1,0.02 atomic layer
168,HMDS,50,Cr(acac)3,,,,,,N2,A-B,Cr*Si*,SiO2,MO,5-8,,1.75,300,100,6-10,,,820,120,175,120,200,,,,,1,0.01 atomic layer
169,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.19,330,500-1000,,,air (N2),600 (180),,180,,180,,,,,1,
170,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.19,330,500-1000,,,air (N2),600 (180),,180,,180,,,,,2,
171,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.19,330,500-1000,,,air (N2),600 (180),,180,,180,,,,,3,3.1 wt.%
172,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.19,330,500-1000,,,air (N2),600 (180),,180,,180,,,,,4,
173,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.19,330,500-1000,,,air (N2),600 (180),,180,,180,,,,,5,
174,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.19,330,500-1000,,,air (N2),600 (450),,180,,450,,,,,1,
175,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.19,330,500-1000,,,air (N2),600 (450),,180,,450,,,,,3,
176,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,,,1.19,330,500-1000,,,air (N2),600 (450),,180,,450,,,,,5,
177,TMA,,H2O,,,,,,N2,A-B,AlOx,HDPE,poly,20,,,,16,0.01,,,,,77,,77,,,,,25,
