,0 WRFbias power,20 WRFbias power
GPC (thickness),0.55 6 0.03A ˚,0.35 6 0.03A ˚
GPC (Ta areal density) a,1.36 6 0.04 at. nm /C0 2,1.23 6 0.03 at. nm /C0 2
Resistivity,(1.4 6 0.1) /C2 10 4 l X cm,236 6 10 l X cm
Mass density,10.2 6 0.3 g cm /C0 3,13.4 6 0.2 g cm /C0 3
Lateral grain size,2.9 6 0.1nm,7.2 6 0.4nm
RMS roughness,0.43 6 0.02nm,0.520 6 0.007nm
N/Ta b,0.83 6 0.02,0.58 6 0.02
C/Ta b,0.29 6 0.08,0.42 6 0.04
O b,10 6 2 at.%,/C20 2 at.%
Ar a,< 0.1 at.%,0.7 6 0.3 at.%
