         2621260 function calls (2287386 primitive calls) in 458.204 seconds

   Ordered by: cumulative time
   List reduced from 2146 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.003    0.000    0.170    0.019 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_cases.py:252(resolve_cases)
   104210    0.146    0.000    0.146    0.000 {built-in method _json.encode_basestring}
     51/2    0.001    0.000    0.142    0.071 <frozen importlib._bootstrap>:986(_find_and_load)
     51/2    0.000    0.000    0.142    0.071 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     46/2    0.000    0.000    0.141    0.070 <frozen importlib._bootstrap>:650(_load_unlocked)
     33/2    0.000    0.000    0.141    0.070 <frozen importlib._bootstrap_external>:842(exec_module)
     67/2    0.000    0.000    0.140    0.070 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     47/2    0.001    0.000    0.140    0.070 {built-in method builtins.exec}
        1    0.000    0.000    0.140    0.140 /home/ftk3187/.local/lib/python3.8/site-packages/fitz/__init__.py:2(<module>)


