doi,status,md_chars,abstract_chars,conclusion_found,figs,empty_caps,flags
10.1002_admi.202000318,OK,47627,1256,True,8,2,
10.1016_j.mee.2018.01.027,OK,30209,913,True,4,0,
10.1039_c5tc03561a,OK,34415,1501,True,14,6,
10.1039_d3ra05217f,REVIEW,31316,1661,True,15,8,empty_captions
10.1116_6.0002804,REVIEW,37746,1729,True,31,23,empty_captions
10.3762_bjnano.5.25,OK,40804,908,True,7,1,
