Temperature ( 1 C),LHAR type,LHAR H ( m m),Max. AR,Number of cycles,Reactor,c TMA,,c H 2 O,Ref.
200,Macroscopic rectangular,100,200:1,150,Home-built,0.1,,-,Dendooven et al. (2009) 31
200,Microscopic centrosymmetric,4.5,B 100:1 a,- b,Single wafer cross-flow hot wall reactor,2 /C2 10 /C0,2,-,Schwille et al. (2016) 41
100-300,- c,-,- c,- b,Home-built,10 /C0 3 d,,10 /C0 4 d,Vandalon et al. (2016) 60
300,Microscopic rectangular PillarHall-3,0.50,2000:1,500,Picosun R-150,5.72 /C2 10 /C0,3 e,-,Ylilammi et al. (2018) 33
275,Microscopic rectangular PillarHall-3,0.50,10000:1,400,Oxford instruments OpAL reactor,(0.5-2) /C2 10,/C0 3,(0.8-2) /C2 10 /C0 4,Arts et al. (2019) 36
300,Microscopic rectangular,0.50,10000:1,500,Picosun R-150,4 /C2 10 /C0 3 f,,3 /C2 10 /C0 4,g This work
