Method,Data,T set (°C),"s 0, TMA","s 0, H 2 O"
"LHAR, relation Arts [Eq. (3)]",This work (Fig. 2),275,(0.5 - 2) × 10 - 3,(0.8 - 2) × 10 - 4
"LHAR, relation Arts [Eq. (3)]",Ylilammi et al . (Ref. 14),300,(2 - 7) × 10 - 3,-
"LHAR, fit Ylilammi et al. (Ref. 14)",Ylilammi et al . (Ref. 14),300,5.72 × 10 - 3,-
Sum-frequency generation,Vandalon et al . (Ref. 15),300,(4 ± 1) × 10 - 3,(4 ± 1) × 10 - 4
