underlying_case_key,paper_id,printed_figure_number,panel,series_label,n_sampled_records_from_this_case,verdict,entity_kind,run_structure,classification_method,evidence_span,sample_or_run_id
10.1021_acs.jpcc.9b08176::F1::c::t=10^4,10.1021_acs.jpcc.9b08176,1,c,exposure time: t=10^4,2,no,simulation_run_or_profile,model_output,caption_inferred,"calculations, molecular /uniFB02 ow (Knudsen approximation) in trenches with AR =",
10.1021_acs.jpcc.9b08176::F2::a::0,10.1021_acs.jpcc.9b08176,2,a,,1,uncertain,unknown,,heuristic,,
10.1039_c5tc03561a::F2::a::0,10.1039_c5tc03561a,2,a,,1,uncertain,unknown,undetermined,heuristic,,
10.1039_c5tc03561a::F3::a::0,10.1039_c5tc03561a,3,a,,1,no,measurement,one_continuous_run,caption_inferred,depth profile of BaO film obtained at 210 1 C substrate temperature and 2,
10.1039_c5tc03561a::F8::a::0,10.1039_c5tc03561a,8,a,,1,no,derived_representation,output_vs_output,metadata_inferred,,
10.1039_c6dt03571j::F5::b::0,10.1039_c6dt03571j,5,b,,1,yes,experimental_case,separate_depositions,caption_inferred,self-limiting growth,
10.1039_c6dt03571j::F6::a::300°C,10.1039_c6dt03571j,6,a,temperature: 300°C,1,uncertain,unknown,,heuristic,,
10.1039_c6dt03571j::F8::a::Sputtered,10.1039_c6dt03571j,8,a,sample condition: Sputtered,1,uncertain,unknown,,heuristic,,
10.1039_c7ra07722j::F2::-::0,10.1039_c7ra07722j,2,,,1,no,measurement,one_continuous_run,caption_inferred,in situ SE measurements while changing precursor or co-reactant dose times,
10.1039_c7ra07722j::F3::a::Plasma 200 °C,10.1039_c7ra07722j,3,a,process and temperature: Plasma 200 °C,1,no,measurement,one_continuous_run,caption_inferred,"In situ thickness measurements by SE for plasma-assisted ALDof Li2CO3 at 50, 200, 275 a",
"10.1039_c7ra07722j::F3::b::SE, thermal",10.1039_c7ra07722j,3,b,"measurement method and process: SE, thermal",1,no,measurement,one_continuous_run,caption_inferred,"In situ thickness measurements by SE for plasma-assisted ALDof Li2CO3 at 50, 200, 275 a",
10.1039_c7ra07722j::F5::a::3 s plasma,10.1039_c7ra07722j,5,a,plasma exposure time: 3 s plasma,3,no,measurement,one_continuous_run,caption_inferred,In situ SE thickness measurement for plasma-assisted ALD of Li2CO3 at 300 /C14 C using,
10.1039_c7ra07722j::F5::a::5 s plasma,10.1039_c7ra07722j,5,a,plasma exposure time: 5 s plasma,1,no,measurement,one_continuous_run,caption_inferred,In situ SE thickness measurement for plasma-assisted ALD of Li2CO3 at 300 /C14 C using,
10.1039_c7ra07722j::F6::b::0,10.1039_c7ra07722j,6,b,,1,uncertain,unknown,,heuristic,,
10.1039_d0cp03358h::F10::b::100 nm,10.1039_d0cp03358h,10,b,channel height: 100 nm,1,no,simulation_run_or_profile,model_output,caption_inferred,Simulated saturation profiles of ALD Al2O3 in microscopic rectangular LHAR chan,
10.1039_d0cp03358h::F10::e::250 cycles,10.1039_d0cp03358h,10,e,number of cycles: 250 cycles,1,no,simulation_run_or_profile,model_output,caption_inferred,Simulated saturation profiles of ALD Al2O3 in microscopic rectangular LHAR chan,
10.1039_d0cp03358h::F8::b::Sample 12,10.1039_d0cp03358h,8,b,sample: Sample 12,1,yes,experimental_profile,one_continuous_run,paper_verified,sample 8,sample 8
10.1039_d0cp03358h::F9::b::2000 nm,10.1039_d0cp03358h,9,b,channel height: 2000 nm,1,yes,experimental_profile,one_continuous_run,paper_verified,"Sample 7, 8, and 9","Sample 7, 8, and 9"
10.1039_d3dt01824e::F3::a::Si,10.1039_d3dt01824e,3,a,substrate: Si,1,uncertain,unknown,undetermined,heuristic,,
10.1039_d3dt01824e::F4::a::SiO2,10.1039_d3dt01824e,4,a,substrate: SiO2,1,yes,experimental_case,separate_depositions,caption_inferred,as a function of deposition temperature,
10.1039_d3dt01824e::F8::a::ET=0 min,10.1039_d3dt01824e,8,a,etching time: ET=0 min,1,uncertain,unknown,,heuristic,,
10.1039_d3ra05217f::F3::a::Y(EtCp)3,10.1039_d3ra05217f,3,a,precursor: Y(EtCp)3,2,uncertain,unknown,undetermined,heuristic,,
10.1039_d3ra05217f::F3::b::Y(EtCp)3,10.1039_d3ra05217f,3,b,precursor: Y(EtCp)3,1,uncertain,unknown,undetermined,heuristic,,
10.1039_d3ra05217f::F6::b::C1s,10.1039_d3ra05217f,6,b,element: C1s,1,uncertain,unknown,,heuristic,,
10.1039_d3ra05217f::F8::a::0,10.1039_d3ra05217f,8,a,,4,uncertain,unknown,undetermined,heuristic,,
10.1063_1.4867469::F1::c::3 nm BTO as-deposited,10.1063_1.4867469,1,c,sample condition: 3 nm BTO as-deposited,1,uncertain,unknown,,heuristic,,
10.1063_1.4867469::F2::a::BTO/STO/Si,10.1063_1.4867469,2,a,series: BTO/STO/Si,1,uncertain,unknown,,heuristic,,
10.1063_1.5028178::F4::a::0.2 µm,10.1063_1.5028178,4,a,channel height: 0.2 µm,1,no,simulation_run_or_profile,model_output,caption_inferred,"calculated by the approximate model when the original channel heights are H ¼ 2,",
10.1063_1.5028178::F4::a::H= 2 µm,10.1063_1.5028178,4,a,channel height: H= 2 µm,1,no,simulation_run_or_profile,model_output,caption_inferred,"calculated by the approximate model when the original channel heights are H ¼ 2,",
10.1063_1.5028178::F5::a::Approximation,10.1063_1.5028178,5,a,model: Approximation,1,no,simulation_run_or_profile,model_output,metadata_inferred,,
10.1063_1.5028178::F5::a::Gordon model,10.1063_1.5028178,5,a,model: Gordon model,1,no,simulation_run_or_profile,model_output,metadata_inferred,,
10.1116_1.4892385::F2::a::4·10^22 m^-3,10.1116_1.4892385,2,a,precursor density: 4·10^22 m^-3,1,no,simulation_run_or_profile,model_output,metadata_inferred,,
"10.1116_1.4892385::F5::a::calculated coating profile for n_P(t,z=0) = 1.0 · 10²⁰ m⁻³ and β₀ = 2 · 10⁻⁴",10.1116_1.4892385,5,a,"precursor density: calculated coating profile for n_P(t,z=0) = 1.0 · 10²⁰ m⁻³ and β₀ = 2 · 10⁻⁴",1,yes,experimental_profile,one_continuous_run,metadata_inferred,,
10.1116_1.4938104::F12::b::Ir/TiO2/cellulose,10.1116_1.4938104,12,b,material: Ir/TiO2/cellulose,1,no,measurement,one_continuous_run,caption_inferred,photocatalytic material,
10.1116_1.4938104::F12::b::paper,10.1116_1.4938104,12,b,material: paper,1,no,measurement,one_continuous_run,caption_inferred,photocatalytic material,
10.1116_1.4938104::F4::d::Cellulose Films,10.1116_1.4938104,4,d,substrate and ALD temperature: Cellulose Films,1,uncertain,unknown,undetermined,heuristic,,
"10.1116_1.4938104::F4::d::Cotton Fibers, 60 °C",10.1116_1.4938104,4,d,"substrate and ALD temperature: Cotton Fibers, 60 °C",1,uncertain,unknown,undetermined,heuristic,,
10.1116_6.0002154::F3::a::0,10.1116_6.0002154,3,a,,4,uncertain,unknown,undetermined,heuristic,,
10.1116_6.0002436::F1::b::SUP,10.1116_6.0002436,1,b,series: SUP,1,yes,experimental_case,separate_depositions,caption_inferred,Saturation curves for ozone (3 wt,
10.1116_6.0002436::F2::a::Middle GPC,10.1116_6.0002436,2,a,position: Middle GPC,1,uncertain,unknown,undetermined,heuristic,,
10.1116_6.0002436::F5::a::100°C (O 1s A),10.1116_6.0002436,5,a,sample: 100°C (O 1s A),1,uncertain,unknown,,heuristic,,
10.1116_6.0002436::F5::a::100°C (O 1s C),10.1116_6.0002436,5,a,sample: 100°C (O 1s C),1,uncertain,unknown,,heuristic,,
10.1116_6.0002804::F1::a::0,10.1116_6.0002804,1,a,,1,yes,experimental_case,separate_depositions,caption_inferred,"independently varied: (a) MoCl2O2 pulse time, (b) at-H pulse time, (c) MoCl2O2 p",
10.1116_6.0002804::F1::b::0,10.1116_6.0002804,1,b,,1,yes,experimental_case,separate_depositions,caption_inferred,"independently varied: (a) MoCl2O2 pulse time, (b) at-H pulse time, (c) MoCl2O2 p",
10.1116_6.0002804::F3::a::Thickness,10.1116_6.0002804,3,a,series: Thickness,1,uncertain,unknown,undetermined,heuristic,,
10.1116_6.0002804::F5::-::0,10.1116_6.0002804,5,,,1,no,measurement,one_continuous_run,caption_inferred,depth profile of an ALD film obtained at 350 °C and (b) averaged ALD film,
10.1116_6.0002804::F5::-::O,10.1116_6.0002804,5,,element: O,1,no,measurement,one_continuous_run,caption_inferred,depth profile of an ALD film obtained at 350 °C and (b) averaged ALD film,
10.1186_s11671-015-0872-9::F3::a::XRD profile,10.1186_s11671-015-0872-9,3,a,series: XRD profile,1,uncertain,unknown,,heuristic,,
10.3762_bjnano.14.89::F10::b::500 °C,10.3762_bjnano.14.89,10,b,deposition temperature: 500 °C,1,uncertain,unknown,,heuristic,,
10.3762_bjnano.14.89::F4::a::0,10.3762_bjnano.14.89,4,a,,1,uncertain,unknown,undetermined,heuristic,,
10.3762_bjnano.14.89::F7::a::0,10.3762_bjnano.14.89,7,a,,1,uncertain,unknown,undetermined,heuristic,,
10.3762_bjnano.14.89::F8::a::225 °C,10.3762_bjnano.14.89,8,a,growth temperature: 225 °C,1,uncertain,unknown,,heuristic,,
10.3762_bjnano.5.25::F3::c::10ms,10.3762_bjnano.5.25,3,c,exposure time: 10ms,1,no,simulation_run_or_profile,model_output,caption_inferred,simulation while using the parameters defined in Table 1,
10.3762_bjnano.5.25::F5::b::100 cycles,10.3762_bjnano.5.25,5,b,cycle_number: 100 cycles,1,no,simulation_run_or_profile,model_output,caption_inferred,simulation,
10.3762_bjnano.5.25::F6::b::400 cycles,10.3762_bjnano.5.25,6,b,number of cycles: 400 cycles,1,yes,experimental_profile,one_continuous_run,metadata_inferred,,
