sample_index,paper_id,record_id,_stage,_stratum,kind,relevance,granularity,is_model_result,in_series,figure_number,fig_docling_index,panel,series_name,coordinate,measurand,n_points,has_context_conflicts,created_by_granularity_migration,has_pressure,has_temperature,has_pulse_time,has_purge_time,has_cycle_count,has_geometry
68,10.1039_c7ra07722j,10.1039_c7ra07722j-5a-S13-P023,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_c7ra07722j-5a-S13,5,7,a,plasma exposure time: 3 s plasma,cycle_number,film_thickness,1,False,True,True,True,False,False,True,True
69,10.1039_c7ra07722j,10.1039_c7ra07722j-5a-S13-P036,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_c7ra07722j-5a-S13,5,7,a,plasma exposure time: 3 s plasma,cycle_number,film_thickness,1,False,True,True,True,False,False,True,True
70,10.1039_c7ra07722j,10.1039_c7ra07722j-5a-S13-P040,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_c7ra07722j-5a-S13,5,7,a,plasma exposure time: 3 s plasma,cycle_number,film_thickness,1,False,True,True,True,False,False,True,True
71,10.1039_c7ra07722j,10.1039_c7ra07722j-5a-S14-P004,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_c7ra07722j-5a-S14,5,7,a,plasma exposure time: 5 s plasma,cycle_number,film_thickness,1,False,True,True,True,False,False,True,True
72,10.1039_c7ra07722j,10.1039_c7ra07722j-F6b-22,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,6,8,b,,Binding energy,intensity,13,False,False,True,True,False,False,False,True
73,10.1039_d0cp03358h,10.1039_d0cp03358h-F10b-43,quota_per_paper,coordinate_axis|model,profile_experiment,model,profile,True,,10,18,b,channel height: 100 nm,spatial_coordinate,growth_per_cycle,14,True,False,False,True,True,False,True,True
74,10.1039_d0cp03358h,10.1039_d0cp03358h-F10e-59,proportional,coordinate_axis|model,profile_experiment,model,profile,True,,10,18,e,number of cycles: 250 cycles,spatial_coordinate,growth_per_cycle,10,True,False,False,True,True,False,True,True
75,10.1039_d0cp03358h,10.1039_d0cp03358h-F8b-19,quota_per_paper,coordinate_axis|experimental,profile_experiment,experimental,profile,False,,8,14,b,sample: Sample 12,spatial_coordinate,film_thickness,31,True,False,False,True,False,False,True,True
76,10.1039_d0cp03358h,10.1039_d0cp03358h-F9b-25,proportional,coordinate_axis|experimental,profile_experiment,experimental,profile,False,,9,16,b,channel height: 2000 nm,spatial_coordinate,growth_per_cycle,11,True,False,False,True,False,False,True,True
77,10.1039_d3dt01824e,10.1039_d3dt01824e-3a-S2-P000,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_d3dt01824e-3a-S2,3,6,a,substrate: Si,pulse_time,growth_per_cycle,1,False,True,False,True,True,False,True,True
