paper,candidate_a,candidate_b,figure_a,panel_a,figure_b,panel_b,design_id_a,design_id_b,varied_quantity_a,varied_quantity_b,branch_value_a,branch_value_b,link_class,action,strength,reason
10.1149_2.067203jes,CAND-10.114-042,CAND-10.114-117,,,,,,,,,,,EXPLICIT,BLOCKED,EXPLICIT,contradictory case-defining conditions
10.1149_2.067203jes,CAND-10.114-043,CAND-10.114-117,,,,,,,,,,,EXPLICIT,MERGED,EXPLICIT,explicit 'same_sample' citing figure 3
10.1149_2.067203jes,CAND-10.114-044,CAND-10.114-117,,,,,,,,,,,EXPLICIT,MERGED,EXPLICIT,explicit 'same_sample' citing figure 3
10.1149_2.067203jes,CAND-10.114-045,CAND-10.114-067,4,a,4,e,DES::10.1149_2.067203jes::F4a::exposure_time,DES::10.1149_2.067203jes::F4e::exposure_time,exposure_time,exposure_time,0.01,0.01,SUPPORTED,MERGED,SUPPORTED,panels a/e of figure 4 plot different outputs at the same design branch exposure_time = 0.01 s
10.1149_2.067203jes,CAND-10.114-046,CAND-10.114-068,4,a,4,e,DES::10.1149_2.067203jes::F4a::exposure_time,DES::10.1149_2.067203jes::F4e::exposure_time,exposure_time,exposure_time,0.02,0.02,SUPPORTED,MERGED,SUPPORTED,panels a/e of figure 4 plot different outputs at the same design branch exposure_time = 0.02 s
10.1149_2.067203jes,CAND-10.114-048,CAND-10.114-070,4,a,4,e,DES::10.1149_2.067203jes::F4a::exposure_time,DES::10.1149_2.067203jes::F4e::exposure_time,exposure_time,exposure_time,0.05,0.05,SUPPORTED,MERGED,SUPPORTED,panels a/e of figure 4 plot different outputs at the same design branch exposure_time = 0.05 s
10.1149_2.067203jes,CAND-10.114-051,CAND-10.114-063,4,b,4,d,DES::10.1149_2.067203jes::F4b::purge_time,DES::10.1149_2.067203jes::F4d::purge_time,purge_time,purge_time,0.5,0.5,SUPPORTED,MERGED,SUPPORTED,panels b/d/h of figure 4 plot different outputs at the same design branch purge_time = 0.5 s
10.1149_2.067203jes,CAND-10.114-051,CAND-10.114-082,4,b,4,h,DES::10.1149_2.067203jes::F4b::purge_time,DES::10.1149_2.067203jes::F4h::purge_time,purge_time,purge_time,0.5,0.5,SUPPORTED,MERGED,SUPPORTED,panels b/d/h of figure 4 plot different outputs at the same design branch purge_time = 0.5 s
10.1149_2.067203jes,CAND-10.114-052,CAND-10.114-064,4,b,4,d,DES::10.1149_2.067203jes::F4b::purge_time,DES::10.1149_2.067203jes::F4d::purge_time,purge_time,purge_time,1.0,1.0,SUPPORTED,MERGED,SUPPORTED,panels b/d/h of figure 4 plot different outputs at the same design branch purge_time = 1 s
10.1149_2.067203jes,CAND-10.114-052,CAND-10.114-083,4,b,4,h,DES::10.1149_2.067203jes::F4b::purge_time,DES::10.1149_2.067203jes::F4h::purge_time,purge_time,purge_time,1.0,1.0,SUPPORTED,MERGED,SUPPORTED,panels b/d/h of figure 4 plot different outputs at the same design branch purge_time = 1 s
10.1149_2.067203jes,CAND-10.114-053,CAND-10.114-065,4,b,4,d,DES::10.1149_2.067203jes::F4b::purge_time,DES::10.1149_2.067203jes::F4d::purge_time,purge_time,purge_time,2.0,2.0,SUPPORTED,MERGED,SUPPORTED,panels b/d/h of figure 4 plot different outputs at the same design branch purge_time = 2 s
10.1149_2.067203jes,CAND-10.114-053,CAND-10.114-084,4,b,4,h,DES::10.1149_2.067203jes::F4b::purge_time,DES::10.1149_2.067203jes::F4h::purge_time,purge_time,purge_time,2.0,2.0,SUPPORTED,MERGED,SUPPORTED,panels b/d/h of figure 4 plot different outputs at the same design branch purge_time = 2 s
10.1149_2.067203jes,CAND-10.114-054,CAND-10.114-066,4,b,4,d,DES::10.1149_2.067203jes::F4b::purge_time,DES::10.1149_2.067203jes::F4d::purge_time,purge_time,purge_time,3.0,3.0,SUPPORTED,MERGED,SUPPORTED,panels b/d of figure 4 plot different outputs at the same design branch purge_time = 3 s
10.1149_2.067203jes,CAND-10.114-056,CAND-10.114-074,4,b,4,f,DES::10.1149_2.067203jes::F4b::purge_time,DES::10.1149_2.067203jes::F4f::purge_time,purge_time,purge_time,5.0,5.0,SUPPORTED,MERGED,SUPPORTED,panels b/f of figure 4 plot different outputs at the same design branch purge_time = 5 s
10.1149_2.067203jes,CAND-10.114-058,CAND-10.114-075,4,c,4,g,DES::10.1149_2.067203jes::F4c::pulse_time,DES::10.1149_2.067203jes::F4g::pulse_time,pulse_time,pulse_time,0.5,0.5,SUPPORTED,MERGED,SUPPORTED,panels c/g of figure 4 plot different outputs at the same design branch pulse_time = 0.5 s
10.1149_2.067203jes,CAND-10.114-059,CAND-10.114-076,4,c,4,g,DES::10.1149_2.067203jes::F4c::pulse_time,DES::10.1149_2.067203jes::F4g::pulse_time,pulse_time,pulse_time,1.0,1.0,SUPPORTED,MERGED,SUPPORTED,panels c/g of figure 4 plot different outputs at the same design branch pulse_time = 1 s
