old_canonical_curves,old_entities,old_experiments,old_model_sweep_entities,old_physical_case_ids,old_points,old_simulation_entities,old_unresolved_entities,paper,pilot_experimental_cases,pilot_identified_deposition_runs,pilot_links_blocked,pilot_links_merged,pilot_measurements,pilot_measurements_recovered_caption_only,pilot_points,pilot_provenance_chains,pilot_representations,pilot_result_series,pilot_run_evidence_groups,pilot_samples,pilot_simulation_runs,pilot_study_series,pilot_unresolved_links
16,16,54,2,14,112,0,0,10.1038_am.2016.182,25,0,6,12,19,5,112,0,0,16,0,0,2,0,7
38,38,32,0,24,624,0,0,10.1149_2.067203jes,66,0,21,11,41,3,624,2,14,38,0,0,0,0,10
4,4,0,0,0,160,0,4,10.1039_c7ta03257a,2,0,0,0,5,1,160,1,2,4,0,0,0,0,3
70,70,39,0,37,1221,31,0,10.1039_d0cp03358h,11,1,1,24,44,5,1221,0,53,70,2,16,31,6,20
34,34,50,1,16,601,0,8,10.1039_d0ra09876k,44,0,0,0,33,0,601,0,0,34,0,0,1,0,20
21,21,20,0,7,622,0,9,10.1039_c5ta00205b,7,0,0,0,21,0,622,0,0,21,0,0,0,0,14
12,12,12,0,12,156,0,0,10.1021_acs.langmuir.6b03119,7,0,0,0,13,1,156,0,2,12,0,0,0,0,6
36,36,53,0,19,531,0,0,10.1039_d0ra01602k,20,0,0,0,37,1,531,0,0,36,0,0,0,0,17
