Material,Cycles,H (nm),p A0 (Pa),c,K (Pa /C0 1 ),gpc sat (pm),rms thickness error (nm)
Al 2 O 3,500,500,147,0.00572,219,105.6,0.974
TiO 2,1000,500,25.7,0.10,0.252,54.4,1.525
